filename,0,1,2,3,4,beta-zero,years_in_school,overall_gpa,num_projects,num_competitions,num_awards,years_non_tech_exp,years_tech_exp,num_leader_role,num_member_role,shows_gpa,took_algorithms,took_data_science,took_data_structures,took_databases,took_oop,took_swe,knows_vcs,knows_android,knows_ios,knows_debugging,knows_testing,knows_frontend,knows_ml,knows_sql,knows_nosql,knows_bash,knows_java,knows_python,knows_cpp,knows_csharp,knows_c,knows_js,knows_nodejs,knows_vb,knows_photoshop,knows_web,knows_cloud,has_projects,has_competitions,has_awards,has_non_tech_exp,has_tech_exp,has_leader_role,has_member_role,has_volunteer_exp,has_github,is_foreign
j050601,0,1,1,1,1,1,,3.73,2,1,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
j050701,0,1,1,1,0,1,,3.56,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
j050702,1,1,0,1,1,1,,3.82,4,1,0,0,5,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
j052201,1,1,1,1,1,1,1,3.93,3,3,2,1,1,2,2,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0
j052501,0,0,1,1,1,1,2,3.4,4,3,2,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0
j052601,1,1,0,1,0,1,,3.38,4,3,1,0,2,4,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0
j052602,0,0,0,0,0,1,1,,3,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
j053801,0,0,0,0,0,1,3,3.86,0,0,1,2,2,0,3,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0
j053802,0,0,0,0,0,1,,4,2,0,1,1,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0
s051542,0,0,0,0,0,1,1,,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
s051903,1,1,1,1,0,1,3,3.7,3,3,2,0,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
s052220,0,0,1,1,1,1,,3.91,3,2,1,0,2,2,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1
s052922,0,0,0,1,0,1,1,,0,0,0,0,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
v051101,0,0,0,0,0,1,0,,2,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0
v051501,1,0,1,1,1,1,,3.51,7,2,3,0,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0
v051601,0,0,0,0,0,1,0,,0,0,4,2,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
v051701,1,0,1,1,1,1,,,7,1,0,0,2,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0
v052401,0,0,0,0,0,1,1,4,2,0,6,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
v053001,1,0,1,1,0,1,3,3.9,0,0,2,0,2,2,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0
v053201,0,0,0,0,0,1,3,,4,2,0,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0
v054501,1,0,1,1,1,1,,3.4,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
v054601,0,1,1,1,0,1,,3.37,0,0,0,3,3,0,2,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
v064101,0,0,1,1,0,1,,,0,0,0,0,3,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
v064201,1,1,1,1,1,1,3,,2,2,0,0,2,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0
v090201,0,0,0,0,0,1,,,0,0,0,8,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
